tanggal,kecamatan,produk,kategori_produk,jenis_pelanggan,channel_penjualan,jumlah_terjual,harga_satuan,total_penjualan,suhu_udara_celsius,musim,hari_libur,promo_aktif,stok_awal,stok_sisa,jarak_pengiriman_km,biaya_distribusi,metode_pembayaran,rating_pelanggan
2024-01-01,Cepogo,Keju Mozzarella,Olahan,Toko Modern,Titip Jual,46,29199.0,1343154.0,24.2,Hujan,Ya,Tidak,125,78,16,8318,Tunai,3.4
2024-01-01,Musuk,Susu UHT,Susu Cair,Toko Modern,Offline,45,8650.0,389250.0,24.2,Hujan,Ya,Tidak,87,44,18,9626,Tunai,3.8
2024-01-01,Mojosongo,Susu Segar,Susu Cair,Warung,Online,53,12116.0,642148.0,24.2,Hujan,Ya,Tidak,94,44,13,6821,Tunai,4.1
2024-01-02,Ampel,Es Krim,Snack,Restoran/Kafe,Offline,38,7105.0,269990.0,25.0,Hujan,Tidak,Tidak,65,26,14,6534,Tunai,3.1
2024-01-02,Cepogo,Susu UHT,Susu Cair,Restoran/Kafe,Offline,55,8669.0,476795.0,25.0,Hujan,Tidak,Tidak,113,62,16,8151,Tunai,5.0
2024-01-02,Mojosongo,Yogurt,Olahan,Warung,Offline,38,10054.0,382052.0,25.0,Hujan,Tidak,Tidak,69,31,8,5712,Transfer,4.2
2024-01-03,Cepogo,Yogurt,Olahan,Pasar Tradisional,Titip Jual,69,,,20.5,Hujan,Tidak,Tidak,111,42,20,10704,Tunai,4.6
2024-01-03,Ampel,Yogurt,Olahan,Pasar Tradisional,Online,39,9664.0,376896.0,20.5,Hujan,Tidak,Tidak,84,45,13,6721,QRIS,4.8
2024-01-03,Musuk,Es Krim,Snack,Pasar Tradisional,Offline,46,6510.0,299460.0,20.5,Hujan,Tidak,Ya,119,71,15,8771,Tunai,4.4
2024-01-04,Cepogo,Susu UHT,Susu Cair,Warung,Titip Jual,39,8201.0,319839.0,26.1,Hujan,Tidak,Tidak,76,37,17,7724,Transfer,5.0
2024-01-04,Musuk,Permen Susu,Snack,Toko Modern,Offline,46,4100.0,188600.0,26.1,Hujan,Tidak,Ya,95,50,15,8485,Transfer,4.0
2024-01-04,Mojosongo,Susu Segar,Susu Cair,Toko Modern,Offline,52,11542.0,600184.0,26.1,Hujan,Tidak,Tidak,116,68,10,5482,Tunai,3.8
2024-01-05,Cepogo,Susu Segar,Susu Cair,Pasar Tradisional,Offline,38,12292.0,467096.0,25.0,Hujan,Tidak,Tidak,101,65,21,9236,QRIS,3.8
2024-01-05,Ampel,Susu UHT,Susu Cair,Warung,Titip Jual,42,8382.0,352044.0,25.0,Hujan,Tidak,Tidak,80,42,14,8068,Transfer,5.0
2024-01-05,Ampel,Yogurt,Olahan,Pasar Tradisional,Offline,43,10174.0,437482.0,25.0,Hujan,Tidak,Tidak,80,38,14,7308,Transfer,3.6
2024-01-06,Musuk,Susu UHT,Susu Cair,Warung,Offline,37,8470.0,313390.0,25.6,Hujan,Ya,Tidak,67,27,18,8229,Tunai,3.8
2024-01-06,Mojosongo,Susu Segar,Susu Cair,Warung,Titip Jual,51,12056.0,614856.0,25.6,Hujan,Ya,Tidak,121,73,12,6025,QRIS,4.6
2024-01-07,Boyolali Kota,Yogurt,Olahan,Toko Modern,Online,55,8200.0,451000.0,27.2,Hujan,Ya,Ya,71,14,5,3780,QRIS,4.1
2024-01-07,Boyolali Kota,Es Krim,Snack,Toko Modern,Offline,33,6707.0,221331.0,27.2,Hujan,Ya,Tidak,99,65,3,3190,QRIS,3.9
2024-01-08,Selo,Susu Segar,Susu Cair,Restoran/Kafe,Offline,49,11343.0,555807.0,24.4,Hujan,Tidak,Tidak,94,45,19,10436,Tunai,4.5
2024-01-08,Cepogo,Susu Segar,Susu Cair,Pasar Tradisional,Online,59,12033.0,709947.0,24.4,Hujan,Tidak,Tidak,109,55,19,9467,Tunai,4.5
2024-01-08,Musuk,Susu Segar,Susu Cair,Pasar Tradisional,Offline,47,12343.0,580121.0,24.4,Hujan,Tidak,Tidak,79,36,15,7015,QRIS,4.0
2024-01-09,Cepogo,Yogurt,Olahan,Restoran/Kafe,Offline,80,10041.0,803280.0,20.4,Hujan,Tidak,Tidak,130,53,18,8941,Transfer,4.0
2024-01-09,Musuk,Susu Segar,Susu Cair,Pasar Tradisional,Offline,49,11774.0,576926.0,20.4,Hujan,Tidak,Tidak,113,69,16,7451,Tunai,4.1
2024-01-09,Musuk,Susu UHT,Susu Cair,Warung,Offline,41,8320.0,341120.0,20.4,Hujan,Tidak,Tidak,59,23,17,9495,Transfer,4.6
2024-01-10,Ampel,Yogurt,Olahan,Restoran/Kafe,Online,56,10042.0,562352.0,24.8,Hujan,Tidak,Tidak,80,25,16,9500,Tunai,4.3
2024-01-10,Boyolali Kota,Yogurt,Olahan,Pasar Tradisional,Titip Jual,44,9972.0,438768.0,24.8,Hujan,Tidak,Tidak,86,40,6,3531,QRIS,4.4
2024-01-10,Ampel,Permen Susu,Snack,Warung,Offline,15,4884.0,73260.0,24.8,Hujan,Tidak,Tidak,58,47,12,6150,Transfer,4.6
2024-01-11,Ampel,Susu Segar,Susu Cair,Warung,Titip Jual,58,11851.0,687358.0,22.7,Hujan,Tidak,Tidak,100,47,17,8040,QRIS,4.5
2024-01-11,Selo,Susu Segar,Susu Cair,Pasar Tradisional,Online,62,11850.0,734700.0,22.7,Hujan,Tidak,Tidak,122,65,25,12769,Tunai,3.2
2024-01-12,Mojosongo,Keju Mozzarella,Olahan,Warung,Offline,29,28423.0,824267.0,23.8,Hujan,Tidak,Tidak,68,40,9,5483,Tunai,4.4
2024-01-12,Cepogo,Susu UHT,Susu Cair,Restoran/Kafe,Offline,42,8604.0,361368.0,23.8,Hujan,Tidak,Tidak,100,57,19,9944,Tunai,3.8
2024-01-13,Ampel,Keju Mozzarella,Olahan,Pasar Tradisional,Offline,43,28915.0,1243345.0,24.5,Hujan,Ya,Tidak,71,31,16,7457,Transfer,4.9
2024-01-13,Boyolali Kota,Susu Segar,Susu Cair,Toko Modern,Offline,51,12464.0,635664.0,24.5,Hujan,Ya,Tidak,118,65,7,5968,Tunai,4.1
2024-01-13,Boyolali Kota,Susu Segar,Susu Cair,Toko Modern,Titip Jual,69,9840.0,678960.0,24.5,Hujan,Ya,Ya,101,36,5,4219,Tunai,4.7
2024-01-14,Mojosongo,Yogurt,Olahan,Pasar Tradisional,Offline,34,9926.0,337484.0,25.0,Hujan,Ya,Tidak,86,54,12,7542,Tunai,4.6
